video_id,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie
normal_98_likes_113000_id_7560114759442484487,0.0769230769230769,10.549938,13,13.0,1,0,1.0,1.0,happy,0,0.0,Beauty
top_59_likes_661500_id_7552941212647361800,0.0,4.938123,9,9.0,1,0,1.0,1.0,neutral,1,0.0,Vlog
top_79_likes_457900_id_7561418302761766166,0.1052631578947368,7.429908,19,19.0,1,0,2.0,1.0,angry,1,0.0,Unboxing
top_69_likes_563200_id_7553427159684156690,0.0,4.423722,14,14.0,1,0,2.2,2.2,neutral,1,0.0,Vlog
normal_90_likes_21700_id_7558690687093460279,0.3333333333333333,2.9096358,12,12.0,1,0,1.2,1.0,neutral,1,0.0,Musik
normal_23_likes_59200_id_7555904765448768781,0.0,4.628973,12,12.0,1,0,1.4,1.0,fear,1,0.0,Vlog
top_11_likes_2000000_id_7554767993666915615,0.0,3.195335,15,15.0,1,0,2.8,1.0,neutral,1,0.0,Vlog
top_58_likes_656000_id_7533687190707047701,0.0,3.7378685,16,16.0,1,0,1.2,1.2,sad,1,0.0,Vlog
normal_9_likes_9707_id_7559684939684400414,0.081081081081081,10.241051,37,37.0,0,0,1.4,1.4,happy,1,0.7506,Musik
top_26_likes_1300000_id_7494637665753713942,0.0,5.349029,17,17.0,1,0,6.4,1.0,neutral,1,0.0,Prank
normal_65_likes_74500_id_7560117671044451598,0.0,2.8533235,11,11.0,1,0,2.0,1.2,neutral,0,0.0,Fashion
normal_53_likes_37000_id_7559227794656398605,0.1818181818181818,7.159359,22,22.0,1,0,2.4,1.2,sad,1,0.0,Vlog
top_18_likes_1700000_id_7461341656470637867,0.0,9.691022,16,16.0,1,0,1.4,1.2,happy,0,0.0,Vlog
normal_93_likes_61900_id_7537411459005828407,0.1764705882352941,9.829831,17,17.0,1,0,5.4,2.0,sad,1,0.91,Vlog
normal_21_likes_23000_id_7532257687514451213,0.1111111111111111,9.546712,18,18.0,1,0,3.0,1.2,angry,1,0.3182,Vlog
normal_15_likes_61700_id_7558916935388335374,0.0,11.96112,42,42.0,1,0,12.4,15.8,sad,1,0.0,Vlog
normal_13_likes_14100_id_7564088602234309918,0.125,7.9634094,24,24.0,1,0,6.2,3.8,sad,1,0.0,Gaming
top_28_likes_1300000_id_7545647280955690253,0.0,8.306133,14,14.0,1,0,2.4,2.8,neutral,1,0.0,Vlog
top_52_likes_720500_id_7511706784608898326,0.0,6.267982,22,22.0,1,0,4.4,1.4,neutral,1,0.0,Prank
top_86_likes_412100_id_7561459495809846542,0.0,7.6658964,9,9.0,1,0,4.2,4.4,neutral,1,0.0,Fashion
top_12_likes_1900000_id_7556096007285591351,0.25,3.1479132,12,12.0,1,0,1.0,1.0,angry,0,0.0,Vlog
top_71_likes_513600_id_7553827710083009799,0.0625,4.350546,16,16.0,1,0,3.2,2.6,happy,1,0.0,Vlog
top_6_likes_2200000_id_7538179148267703572,0.0,4.7305346,15,15.0,1,0,4.2,1.8,happy,1,-0.8402,Vlog
top_23_likes_1400000_id_7477048558412139806,0.0666666666666666,4.554646,15,15.0,1,0,2.0,1.6,happy,1,0.0,Vlog
top_64_likes_601600_id_7491043786580135214,0.15,3.556495,20,20.0,1,0,4.6,1.0,neutral,1,0.0,Fashion
top_87_likes_413000_id_7562270156576148750,0.0,12.097389,15,15.0,1,0,1.8,1.0,fear,1,0.0,Vlog
top_40_likes_888800_id_7546649356707876109,0.0,6.875557,11,11.0,1,0,2.2,1.0,neutral,1,-0.9509,Vlog
normal_45_likes_34400_id_7564156976251325703,0.0857142857142857,7.166003,35,35.0,1,0,1.4,1.0,angry,0,0.0,Vlog
top_7_likes_2200000_id_7554865877619969294,0.0,15.305161,7,7.0,1,0,1.6,1.0,neutral,1,0.0,Vlog
top_29_likes_1100000_id_7498051752504151339,0.0,5.7888937,6,6.0,1,1,2.0,1.4,happy,1,0.0,Vlog
top_62_likes_615500_id_7539684741776248119,0.0,4.0774617,7,7.0,1,0,1.6,1.0,happy,1,0.9718,Vlog
top_67_likes_585900_id_7531096947776671006,0.0,1.3685455,8,8.0,1,0,1.0,1.0,sad,1,0.0,Vlog
normal_16_likes_16300_id_7556493693121744142,0.0,3.1040268,15,15.0,1,0,3.0,1.0,neutral,1,0.0,Vlog
top_34_likes_977600_id_7555647477790035208,0.0,5.439821,7,7.0,1,0,2.0,2.0,neutral,1,0.0,Vlog
top_4_likes_3700000_id_7515083249782181163,0.0,5.763993,15,15.0,1,0,2.4,1.4,happy,1,0.0,Fashion
top_38_likes_926700_id_7521737810315939085,0.1111111111111111,6.352855,18,18.0,1,0,2.0,1.0,sad,0,0.0,Vlog
top_77_likes_476200_id_7552328634359368981,0.2142857142857142,4.194823,14,14.0,1,0,1.6,1.0,sad,0,0.0,Vlog
top_17_likes_1700000_id_7461348964126706987,0.0,6.528947,16,16.0,1,0,1.4,1.0,sad,0,0.0,Vlog
normal_73_likes_27100_id_7535131930182815031,0.0,11.613597,22,22.0,1,0,6.8,17.2,neutral,1,0.5267,Vlog
top_60_likes_669700_id_7560100504492150030,0.0,3.1848872,15,15.0,1,0,1.8,1.0,neutral,1,0.6124,Vlog
normal_66_likes_55200_id_7557540715673373966,0.0,5.416225,7,7.0,1,0,1.6,1.2,neutral,1,0.7925,Vlog
top_15_likes_1800000_id_7553396193309560071,0.0,4.875516,8,8.0,1,0,1.4,1.0,neutral,0,0.0,Vlog
top_33_likes_1000000_id_7556023299734605111,0.0,2.2358515,8,8.0,1,0,1.2,1.0,happy,1,0.9178,Fashion
normal_54_likes_26200_id_7564186910306913550,0.1333333333333333,9.262704,15,15.0,1,0,3.4,2.0,neutral,1,-0.7506,Vlog
top_2_likes_7000000_id_7544520710744558903,0.0909090909090909,6.7596297,11,11.0,1,0,2.8,1.0,sad,1,0.0,Vlog
top_3_likes_4300000_id_7538167343642397973,0.0,3.1949298,7,7.0,1,0,1.0,1.0,sad,1,0.0,Vlog
normal_76_likes_34000_id_7538577100836539703,0.0,4.17287,7,7.0,1,0,1.2,1.0,fear,1,0.0,Vlog
top_31_likes_980000_id_7533694357220707605,0.0,6.2276917,16,16.0,1,0,1.0,1.0,neutral,1,0.0,Vlog
normal_31_likes_15900_id_7483004941213322542,0.15,2.2640996,20,20.0,1,0,1.0,1.2,happy,0,0.0,Vlog
top_24_likes_1400000_id_7461455484957216046,0.0,4.7846456,8,8.0,1,0,11.0,9.0,happy,1,0.0,Vlog
normal_8_likes_109500_id_7561213627798277384,0.0,3.355252,12,12.0,1,0,1.0,1.0,happy,1,0.0,Vlog
top_91_likes_387800_id_7546980162093534478,0.0,4.834162,22,22.0,1,0,1.8,1.0,sad,1,0.3612,Vlog
normal_52_likes_62500_id_7527804631657794846,0.1,7.18453,10,10.0,1,0,1.4,1.0,surprise,1,-0.4404,Vlog
normal_51_likes_21100_id_7533277722089442590,0.0,6.7046742,7,7.0,1,0,1.2,1.0,surprise,1,0.0,Vlog
normal_87_likes_11900_id_7563719605663862029,0.3636363636363636,7.4033127,11,11.0,1,0,2.2,1.4,happy,1,0.0,Fitness
top_55_likes_726800_id_7556358877843868941,0.1428571428571428,9.530679,7,7.0,1,0,3.8,2.0,sad,1,0.2263,Vlog
